title,RAM,storage,color,model_no,deal_price,org_price,discount,rating,no_of_ratings,battery,processor_brand,os,processor_core,camera,warranty
Nokia 105 Classic without Charger  (Charcoal),32 MB,32 MB,Charcoal,TA-1423,1047,1249,16% off,3.9,"3,784 Ratings & 165 Reviews",800 mAh,NA,N/A,N/A,,1 Year
"SAMSUNG Galaxy F15 5G (Groovy Violet, 128 GB)  (4 GB RAM)",4 GB,128 GB,Groovy Violet,SM-E156BLVDINS,12499,15999,21% off,4.1,"13,366 Ratings & 1,077 Reviews",6000 mAh,Mediatek,Android 14,Octa Core,50MP + 5MP + 2MP,1 Year
"SAMSUNG M55s (Thunder Black, 128 GB)  (8 GB RAM)",8 GB,128 GB,Thunder Black,SM-M558B,20499,28999,29% off,4.2,50 Ratings & 4 Reviews,5000 mAh,Snapdragon,Android Q Android,Octa Core,50MP Rear Camera,1 Year
"POCO M6 5G - Locked with Airtel Prepaid (Polaris Green, 128 GB)  (4 GB RAM)",4 GB,128 GB,Polaris Green,MZB0H4XIN,8499,12999,34% off,4.2,"1,43,650 Ratings & 7,183 Reviews",5000 mAh,Mediatek,Android 13,Octa Core,50MP Rear Camera,1 Year
Kechaoda A27  (Blue Green),32 MB,32 MB,Blue Green,A27,899,1499,40% off,4,"13,430 Ratings & 794 Reviews",800 mAh,NA,9.5,N/A,0MP,1 Year
"vivo T2x 5G (Glimmer Black, 128 GB)  (8 GB RAM)",8 GB,128 GB,Glimmer Black,V2253|V2312,15700,20999,25% off,4.4,"77,392 Ratings & 4,342 Reviews",5000 mAh,Mediatek,Android 13,Octa Core,50MP + 2MP,1 Year
Kechaoda A27  (Silver Grey),32 MB,32 MB,Silver Grey,A27,894,1499,40% off,4,"13,430 Ratings & 794 Reviews",800 mAh,NA,Symbian 9.1,N/A,0MP,1 Year
"REDMI 13c 5G (Startrail Silver, 128 GB)  (6 GB RAM)",6 GB,128 GB,Startrail Silver,23124RN87I,12986,15999,18% off,4.3,"37,863 Ratings & 1,629 Reviews",5000 mAh,Mediatek,Android 13,Octa Core,50MP Rear Camera,1 Year
"SAMSUNG Galaxy A16 5G (Light Green, 128 GB)  (6 GB RAM)",6 GB,128 GB,Light Green,A166P-SM,14988,19999,25% off,4.1,865 Ratings & 49 Reviews,5000 mAh,Mediatek,Android 14,Octa Core,50MP + 5MP + 2MP,1 Year
"SAMSUNG Galaxy A16 5G (Blue Black, 128 GB)  (6 GB RAM)",6 GB,128 GB,Blue Black,A166P-SM,14388,19999,28% off,4.1,865 Ratings & 49 Reviews,5000 mAh,Mediatek,Android 14,Octa Core,50MP + 5MP + 2MP,1 Year
